system	doc	doc_id	seg_id	rater	source	target	category	severity
default	moedict_select	0	0	rater1	頭髮留那麼長還不剪，莫非是想把錢省下來買花生糖吃。	頭毛留甲遐爾長毋去鉸，敢是欲儉錢來買<v>塗豆麩</v>食？	Accuracy/Mistranslation	Major
default	moedict_select	1002	0	rater2	他畢業至今還沒找到工作，暫時跟在里長伯身旁當跑腿的。	伊出業到今猶未揣著頭路，暫且<v>綴鄰長的阿伯</v>做小使仔。	Purity/	Major
default	moedict_select	1003	0	rater2	臺灣在夏天出產很多香甜的水果，例如芒果、荔枝和香瓜。	臺灣佇<v>熱天</v>有真濟芳甜的水果，親像檨仔、荔枝佮西瓜。	Purity/	Minor
default	moedict_select	101	0	rater1	你是一個壞榜樣，專門在教壞所有的小孩子。	你這个<v>歹模樣</v>，專門佇教歹所有的囡仔。	Locale/Other	Minor
default	moedict_select	101	1	rater1	你是一個壞榜樣，專門在教壞所有的小孩子。	你這个歹模樣，專門<v>佇</v>教歹所有的囡仔。	Fluency/Grammar	Major
default	moedict_select	101	2	rater1	你是一個壞榜樣，專門在教壞所有的小孩子。	你這个歹模樣，專門佇<v>教歹所有的囡仔</v>。	Locale/Other	Minor
default	moedict_select	1022	0	rater2	現在事機敗露了，自己不承擔，還硬要賴給別人，實在沒道理。	現此時代誌<v>走精去矣</v>，家己毋認輸，閣欲共人牽拖，有影無理。	Accuracy/Mistranslation	Major
default	moedict_select	1022	1	rater2	現在事機敗露了，自己不承擔，還硬要賴給別人，實在沒道理。	現此時代誌走精去矣，家己毋認輸，閣欲<v>共人牽拖</v>，有影無理。	Fluency/Grammar	Major
default	moedict_select	1023	0	rater2	三噸半的貨車扣除車身重量，可以載運大約一千五百公斤的貨。	三噸半的<v>車仔</v>扣掉車身重，會當載差不多一千五百斤的貨。	Accuracy/Omission	Minor
default	moedict_select	1031	0	rater2	「手心手背都是肉」，不論是女兒或兒子，都是父母的心肝寶貝。	「<v>手面相拍</v>」，無論查某囝抑是後生，攏是爸母的心肝寶貝。	Terminology/Inappropriate	Major
default	moedict_select	1035	0	rater2	新聞有報導，嗜食檳榔的人，如果吃到倒吊子中毒，有時候會喪命。	新聞講著，愛食檳榔的人，若食著<v>檳榔內底的烏心仔</v>，有時嘛會無命。	Terminology/Inappropriate	Major
default	moedict_select	1039	0	rater2	從前糧食匱乏的時代，煮稀飯是幾粒米、一些番薯籤乾加一大鍋的水，「一粒田螺煮九海碗湯」，要撈到一粒米粒就像海底撈針，好難啊！	古早時陣<v>食米</v>較欠缺的時，煠糜是三粒米、一寡番薯簽乾摻一大鼎水，「一粒田螺煮九碗湯」，欲撈著一粒米粒就若海底摸針仝款，真僫得呢！	Accuracy/Mistranslation	Major
default	moedict_select	1039	1	rater2	從前糧食匱乏的時代，煮稀飯是幾粒米、一些番薯籤乾加一大鍋的水，「一粒田螺煮九海碗湯」，要撈到一粒米粒就像海底撈針，好難啊！	古早時陣食米較欠缺的時，<v>煠糜</v>是三粒米、一寡番薯簽乾摻一大鼎水，「一粒田螺煮九碗湯」，欲撈著一粒米粒就若海底摸針仝款，真僫得呢！	Purity/None	Major
default	moedict_select	1041	0	rater2	廟宇建醮乞龜保平安的時候，爸爸擲最多聖筊，求得那隻最大的米龜。	廟宇做醮<v>求龜</v>保平安的時，阿爸跋上濟筊，求著彼隻上大粒的米龜。	Terminology/Inappropriate	Major
default	moedict_select	1041	1	rater2	廟宇建醮乞龜保平安的時候，爸爸擲最多聖筊，求得那隻最大的米龜。	廟宇做醮求龜保平安的時，阿爸跋上濟<v>筊</v>，求著彼隻上大粒的米龜。	Terminology/Inappropriate	Major
default	moedict_select	1041	2	rater2	廟宇建醮乞龜保平安的時候，爸爸擲最多聖筊，求得那隻最大的米龜。	廟宇做醮求龜保平安的時，阿爸跋上濟筊，<v>求</v>著彼隻上大粒的米龜。	Terminology/Inappropriate	Major
default	moedict_select	1041	3	rater2	廟宇建醮乞龜保平安的時候，爸爸擲最多聖筊，求得那隻最大的米龜。	廟宇做醮求龜保平安的時，阿爸跋上濟筊，求著彼隻上大<v>粒</v>的米龜。	Terminology/Inappropriate	Major
default	moedict_select	1045	0	rater2	人家說「三分長相，七分打扮」，他今天穿西裝還梳西裝頭，更加英俊了。	人講：「三生有幸，七彩妝娗」，伊今仔日穿西裝閣<v>梳頭鬃</v>，加誠緣投。	Terminology/Inappropriate	Major
default	moedict_select	1045	1	rater2	人家說「三分長相，七分打扮」，他今天穿西裝還梳西裝頭，更加英俊了。	人講：「<v>三生有幸，七彩妝娗</v>」，伊今仔日穿西裝閣梳頭鬃，加誠緣投。	Accuracy/Mistranslation	Major
default	moedict_select	13	0	rater1	時機很不好，害我各種行業都做過了也沒輒。	時機真䆀，害我<v>做甲百行</v>無半步。	Accuracy/Mistranslation	Major
default	moedict_select	13	1	rater1	時機很不好，害我各種行業都做過了也沒輒。	時機真䆀，害我做甲百行<v>無半步</v>。	Accuracy/Mistranslation	Major
default	moedict_select	17	0	rater1	天空開始下起間歇性隨風飄的霧雨，應該是颱風快來了。	天頂開始落<v>一寡仔袂定時的毛毛仔雨</v>，應該會緊變做風颱矣。	Locale/Other	Minor
default	moedict_select	17	1	rater1	天空開始下起間歇性隨風飄的霧雨，應該是颱風快來了。	天頂開始落一寡仔袂定時的毛毛仔雨，應該<v>會緊變做風颱矣</v>。	Fluency/Grammar	Major
default	moedict_select	18	0	rater1	賺的錢花就已經不夠了，還要人情俗事的交際應酬，哪還有錢可以買房子。	趁的錢開就無夠<v>看</v>矣，閣愛納人的交際費，哪有通買厝？	Accuracy/Mistranslation	Major
default	moedict_select	18	1	rater1	賺的錢花就已經不夠了，還要人情俗事的交際應酬，哪還有錢可以買房子。	趁的錢開就無夠看矣，閣愛<v>納人的交際費</v>，哪有通買厝？	Purity/None	Minor
default	moedict_select	18	2	rater1	賺的錢花就已經不夠了，還要人情俗事的交際應酬，哪還有錢可以買房子。	趁的錢開就無夠看矣，閣愛納人的交際費，哪有<v>通</v>買厝？	Accuracy/Omission	Minor
default	moedict_select	29	0	rater1	他喜歡誣賴別人，白色的布硬要染成黑色的。硬是要抹黑事實。	伊愛共人<v>烏白講</v>，白布硬欲染做烏的。硬拗的事實。	Accuracy/Mistranslation	Major
default	moedict_select	29	1	rater1	他喜歡誣賴別人，白色的布硬要染成黑色的。硬是要抹黑事實。	伊愛共人烏白講，白布硬欲染做烏的。硬<v>拗的</v>事實。	Accuracy/Mistranslation	Major
default	moedict_select	29	2	rater1	他喜歡誣賴別人，白色的布硬要染成黑色的。硬是要抹黑事實。	伊愛共人烏白講，白布硬欲染做烏的。硬拗的<v>事實</v>。	Accuracy/Omission	Minor
default	moedict_select	35	0	rater1	他的胃不好，比較不喜歡吃油膩葷腥的食物。	伊的胃無好，較無愛食油臊的物件。	no-error	no-error
default	moedict_select	39	0	rater1	俗諺說：「清明節不回家祭祖掃墓，會背負背祖忘本之名；而過年不回家的出外人，可能是無家庭觀念或是沒妻小的人。」就算你現在在外頭租的屋子離父母家很遠，逢年過節都得回去。	俗語講：「清明毋轉去<v>拜祖公</v>，是咧卸世家。」過年毋轉去的出外人，有可能無厝通好轉、抑是孤單一个。你這馬佇外位稅的所在離爸母較遠，嘛著逐年過年過節攏愛轉來。	Fluency/Register	Minor
