system	doc	doc_id	seg_id	rater	source	target	category	severity
default	moedict_select	1005	0	rater2	以前的人要有一件衣服穿，需要自己織布製衣，非常麻煩。	古早人若欲有一領衫通穿，著愛家己<v>做</v>，真費氣。	Accuracy/Omission	Major
default	moedict_select	1008	0	rater2	我們老闆會用殺雞儆猴的方法管理部下，讓人感覺不太舒服。	阮頭家會用刣雞教猴的步數來管部下<v>去</v>，予人小可仔袂爽快。	Accuracy/Addition	Minor
default	moedict_select	1008	1	rater2	我們老闆會用殺雞儆猴的方法管理部下，讓人感覺不太舒服。	阮頭家會用刣雞教猴的步數來<v>管</v>部下去，予人小可仔袂爽快。	Fluency/Register	Minor
default	moedict_select	1008	2	rater2	我們老闆會用殺雞儆猴的方法管理部下，讓人感覺不太舒服。	阮頭家會用刣雞教猴的步數來管部下去，予人<v>小可仔</v>袂爽快。	Accuracy/Omission	Minor
default	moedict_select	1011	0	rater2	散會時，我們準備了三、四百塊鳳梨酥，在大門口送給客人。	散會的時，阮攢三、四百个王梨酥，佇大門口<v>送</v>人客。	Fluency/Grammar	Minor
default	moedict_select	1012	0	rater2	他生性比較懶散，如果不經常督促他，工作進度會被耽誤到。	伊生做較<v>荏</v>，若無定定共伊督促，工課會予伊拖屎連。	Accuracy/Mistranslation	Major
default	moedict_select	1012	1	rater2	他生性比較懶散，如果不經常督促他，工作進度會被耽誤到。	伊生做較荏，若無定定共伊<v>督促</v>，工課會予伊拖屎連。	Purity/	Minor
default	moedict_select	1012	2	rater2	他生性比較懶散，如果不經常督促他，工作進度會被耽誤到。	伊生做較荏，若無定定共伊督促，工課會予伊<v>拖屎連</v>。	Style/Awkward	Major
default	moedict_select	1014	0	rater2	我國小畢業，考上初中，可惜沒有錢可以註冊，就去當學徒。	阮<v>國小</v>出業，考牢國中，可惜無錢通註冊，就去做學仔工。	Locale/Other	Minor
default	moedict_select	1014	1	rater2	我國小畢業，考上初中，可惜沒有錢可以註冊，就去當學徒。	阮國小出業，考牢國中，可惜無錢通註冊，就去<v>做學仔工</v>。	Purity/	Major
default	moedict_select	1015	0	rater2	前幾天你要搬家，你舅舅特地請假來幫你搬，你非但沒有感謝他，還嫌他笨手笨腳，你這個外甥真是「占盡你舅舅的便宜」。	頂日仔恁欲<v>徙厝</v>，恁阿舅專工請假來共你鬥搬，你毋但無感謝伊，閣嫌伊戇大呆，你這个小表兄真正是「食人夠夠」。	Accuracy/Mistranslation	Major
default	moedict_select	1015	1	rater2	前幾天你要搬家，你舅舅特地請假來幫你搬，你非但沒有感謝他，還嫌他笨手笨腳，你這個外甥真是「占盡你舅舅的便宜」。	頂日仔恁欲徙厝，恁阿舅專工請假來共你鬥搬，你毋但無感謝伊，閣嫌伊<v>戇大呆</v>，你這个小表兄真正是「食人夠夠」。	Accuracy/Mistranslation	Major
default	moedict_select	1015	2	rater2	前幾天你要搬家，你舅舅特地請假來幫你搬，你非但沒有感謝他，還嫌他笨手笨腳，你這個外甥真是「占盡你舅舅的便宜」。	頂日仔恁欲徙厝，恁阿舅專工請假來共你鬥搬，你毋但無感謝伊，閣嫌伊戇大呆，<v>你這个小表兄真正是「食人夠夠」</v>。	Terminology/Other	Major
default	moedict_select	1016	0	rater2	百貨公司常會在年底打折大拍賣，俗語說：「貪小便宜反敗家。」我們不要貪求東西便宜就拚命買，否則，到時財產會完蛋。	百貨公司定定佇年尾咧拍折，俗語講：「<v>食緊挵破碗。</v>」咱毋通為著物件俗就烏白買，若無，到時錢財就了了矣。	Accuracy/Mistranslation	Major
default	moedict_select	1016	1	rater2	百貨公司常會在年底打折大拍賣，俗語說：「貪小便宜反敗家。」我們不要貪求東西便宜就拚命買，否則，到時財產會完蛋。	百貨公司定定佇年尾咧拍折，俗語講：「食緊挵破碗。」咱毋通為著物件俗就烏白買，若無，到時錢財就<v>了了</v>矣。	Fluency/Grammar	Minor
default	moedict_select	1033	0	rater2	這條溪每年都溺死好幾個人，政府規定這裡不能戲水，不過都沒人理會，過沒幾年，事情就「船過水無痕」，戲水的人仍然滿坑滿谷。	這條溪逐年攏<v>淹死</v>幾若个人，政府規定遮袂使泅水，毋過無人咧插伊，無偌久，代誌就「船過水無痕」矣，猶是滿滿是咧泅水。	Purity/None	Major
default	moedict_select	1033	1	rater2	這條溪每年都溺死好幾個人，政府規定這裡不能戲水，不過都沒人理會，過沒幾年，事情就「船過水無痕」，戲水的人仍然滿坑滿谷。	這條溪逐年攏淹死幾若个人，政府規定遮袂使泅水，毋過無人咧插<v>伊</v>，無偌久，代誌就「船過水無痕」矣，猶是滿滿是咧泅水。	Accuracy/Addition	Minor
default	moedict_select	1033	2	rater2	這條溪每年都溺死好幾個人，政府規定這裡不能戲水，不過都沒人理會，過沒幾年，事情就「船過水無痕」，戲水的人仍然滿坑滿谷。	這條溪逐年攏淹死幾若个人，政府規定遮袂使泅水，毋過無人咧插伊，無偌久，代誌就「船過水無痕」矣，猶是滿滿<v>是咧</v>泅水。	Fluency/Grammar	Major
default	moedict_select	104	0	rater1	學語言要有環境，長期受影響自然就能學會。	<v>學話</v>著愛有環境，久長受影響自然就會曉。	Accuracy/Mistranslation	Major
default	moedict_select	104	1	rater1	學語言要有環境，長期受影響自然就能學會。	學話著愛有環境，<v>久長</v>受影響自然就會曉。	Fluency/Register	Minor
default	moedict_select	11	0	rater1	人家俗話說「輸給某人無所謂，別排在最後，在最後一名就太難看了」，我們就得要努力點。	人講「<v>食緊挵破碗</v>」，咱著愛較拍拚咧。	Accuracy/Mistranslation	Major
default	moedict_select	15	0	rater1	家中二妻爭執，因互相謾罵而使得家醜外揚。	厝內二个某咧冤家，因為相罵甲流目屎，予人看笑詼。	no-error	no-error
default	moedict_select	26	0	rater1	鐃鈸叮噹響，紅龜粿包豆沙餡。老公公吃，老婆婆罵。老公公舉起扁擔，老婆婆喊救命不敢。	<v>銅鑼摃鼓</v>聲，紅龜粿𩛩塗豆餡。阿公食，阿媽罵。阿公攑扁擔，阿媽喝救命毋敢。	Accuracy/Mistranslation	Major
default	moedict_select	26	1	rater1	鐃鈸叮噹響，紅龜粿包豆沙餡。老公公吃，老婆婆罵。老公公舉起扁擔，老婆婆喊救命不敢。	銅鑼摃鼓聲，紅龜粿<v>𩛩</v>塗豆餡。阿公食，阿媽罵。阿公攑扁擔，阿媽喝救命毋敢。	Accuracy/Mistranslation	Major
default	moedict_select	26	2	rater1	鐃鈸叮噹響，紅龜粿包豆沙餡。老公公吃，老婆婆罵。老公公舉起扁擔，老婆婆喊救命不敢。	銅鑼摃鼓聲，紅龜粿𩛩<v>塗豆</v>餡。阿公食，阿媽罵。阿公攑扁擔，阿媽喝救命毋敢。	Accuracy/Mistranslation	Major
default	moedict_select	26	3	rater1	鐃鈸叮噹響，紅龜粿包豆沙餡。老公公吃，老婆婆罵。老公公舉起扁擔，老婆婆喊救命不敢。	銅鑼摃鼓聲，紅龜粿𩛩塗豆餡。<v>阿公</v>食，阿媽罵。阿公攑扁擔，阿媽喝救命毋敢。	Accuracy/Mistranslation	Major
default	moedict_select	26	4	rater1	鐃鈸叮噹響，紅龜粿包豆沙餡。老公公吃，老婆婆罵。老公公舉起扁擔，老婆婆喊救命不敢。	銅鑼摃鼓聲，紅龜粿𩛩塗豆餡。阿公食，<v>阿媽</v>罵。阿公攑扁擔，阿媽喝救命毋敢。	Accuracy/Mistranslation	Major
default	moedict_select	26	5	rater1	鐃鈸叮噹響，紅龜粿包豆沙餡。老公公吃，老婆婆罵。老公公舉起扁擔，老婆婆喊救命不敢。	銅鑼摃鼓<v>聲</v>，紅龜粿𩛩塗豆餡。阿公食，阿媽罵。阿公攑扁擔，阿媽喝救命毋敢。	Accuracy/Omission	Minor
default	moedict_select	30	0	rater1	搖來晃去的人沒有才幹，搖搖晃晃的豬，就不屠宰」，我們要穩重一點，才不會被別人瞧不起。	<v>幌來幌去</v>的人無才調，幌來幌去的豬仔毋刣，咱愛較穩重咧，才袂予人看衰。	Accuracy/Omission	Minor
default	moedict_select	30	1	rater1	搖來晃去的人沒有才幹，搖搖晃晃的豬，就不屠宰」，我們要穩重一點，才不會被別人瞧不起。	幌來幌去的人<v>無才調</v>，幌來幌去的豬仔毋刣，咱愛較穩重咧，才袂予人看衰。	Fluency/Register	Minor
default	moedict_select	30	2	rater1	搖來晃去的人沒有才幹，搖搖晃晃的豬，就不屠宰」，我們要穩重一點，才不會被別人瞧不起。	幌來幌去的人無才調，幌來幌去的豬仔毋刣，咱愛較穩重咧，才袂予人<v>看衰</v>。	Fluency/Register	Minor
default	moedict_select	34	0	rater1	你如果不要在那挑起事端，他們就不會吵架！	你若<v>無愛</v>佇遐激骨仔，𪜶就袂相觸！	Accuracy/Mistranslation	Major
default	moedict_select	34	1	rater1	你如果不要在那挑起事端，他們就不會吵架！	你若無愛佇遐<v>激骨仔</v>，𪜶就袂相觸！	Accuracy/Mistranslation	Major
default	moedict_select	34	2	rater1	你如果不要在那挑起事端，他們就不會吵架！	你若無愛佇遐激骨仔，𪜶就袂<v>相觸</v>！	Fluency/Register	Minor
default	moedict_select	4	0	rater1	天花板與屋頂之間的空間可以儲藏一些東西。	天篷佮厝頂之間<v>有夠額</v>的空間通囥一寡物件。	Accuracy/Addition	Minor
default	moedict_select	41	0	rater1	沒有月光的夜晚走路，有人相陪作伴，膽子就比較大。	無月娘的暗暝行路，有人做伴，心肝頭較袂驚惶。	no-error	no-error
default	moedict_select	44	0	rater1	賣這個賣一個賺一個，成本二十五元賣五十元。	賣這个賣一个趁一个，本錢<v>二十五箍</v>賣五十箍。	Fluency/Register	Minor
default	moedict_select	44	1	rater1	賣這個賣一個賺一個，成本二十五元賣五十元。	賣這个賣一个趁一个，本錢二十五箍賣<v>五十箍</v>。	Fluency/Register	Minor
default	moedict_select	55	0	rater1	他有一些話保留著，是要留著吵架時拿來駁倒對方。	伊有一寡話<v>留</v>咧是欲予人反駁。	Purity/None	Minor
default	moedict_select	55	1	rater1	他有一些話保留著，是要留著吵架時拿來駁倒對方。	伊有一寡話留咧是欲<v>予人反駁</v>。	Accuracy/Mistranslation	Major
default	moedict_select	57	0	rater1	他天生就比較粗魯、率直，你不要和他計較。	伊<v>生做</v>粗皮粗皮閣較戇直，你莫佮伊計較。	Accuracy/Mistranslation	Major
default	moedict_select	57	1	rater1	他天生就比較粗魯、率直，你不要和他計較。	伊生做<v>粗皮粗皮</v>閣較戇直，你莫佮伊計較。	Accuracy/Mistranslation	Major
default	moedict_select	57	2	rater1	他天生就比較粗魯、率直，你不要和他計較。	伊生做粗皮粗皮閣較<v>戇直</v>，你莫佮伊計較。	Accuracy/Addition	Minor
default	moedict_select	61	0	rater1	你很喜歡動來動去咧，難道不可以安靜一下？	你真愛<v>走相逐</v>，敢袂使恬落來？	Accuracy/Mistranslation	Major
default	moedict_select	61	1	rater1	你很喜歡動來動去咧，難道不可以安靜一下？	你真愛走相逐，敢袂使<v>恬落來</v>？	Other/None	Minor
default	moedict_select	63	0	rater1	農曆六月的天氣就像火燒山，整天都很悶熱。	舊曆六月天的天氣熱甲若像<v>咧著火</v>，規日攏足𤺪熱的。	Accuracy/Other	Minor
default	moedict_select	63	1	rater1	農曆六月的天氣就像火燒山，整天都很悶熱。	舊曆六月天的天氣熱甲若像咧著火，規日攏足<v>𤺪熱</v>的。	Purity/None	Major
default	moedict_select	83	0	rater1	以前的人說：「戲台上的演員演得汗流浹背，戲台下的觀眾批評得口沫橫飛。」反正做事總是不能符合眾人的意思，想做就認真做，不用怕別人批評。	古早人講：「<v>舞台頂的演員搬甲流汗，台跤的人罵甲喙角全波。</v>」總是有做袂到眾人的意思，若欲做就認真去做，免驚別人嫌。	Locale/Other	Minor
default	moedict_select	83	1	rater1	以前的人說：「戲台上的演員演得汗流浹背，戲台下的觀眾批評得口沫橫飛。」反正做事總是不能符合眾人的意思，想做就認真做，不用怕別人批評。	古早人講：「舞台頂的演員搬甲流汗，台跤的人罵甲喙角全波。」總是<v>有做袂到眾人的意思</v>，若欲做就認真去做，免驚別人嫌。	Locale/Other	Minor
default	moedict_select	84	0	rater1	他是一個跟人家爭論就不認輸，跟人家打賭又不曾贏的人。	伊是一个佮人相諍毋認輸、佮人<v>拍牌仔</v>閣無捌贏過的人。	Accuracy/Mistranslation	Major
default	moedict_select	84	1	rater1	他是一個跟人家爭論就不認輸，跟人家打賭又不曾贏的人。	伊是一个佮人相諍毋認輸、佮人拍牌仔閣無捌贏<v>過</v>的人。	Accuracy/Other	Minor
default	moedict_select	86	0	rater1	現在賺錢不容易又加上武漢疫情，不過「若像田螺含水度過寒冬日，等待時機」，認真打拼，總有翻身的一天。	這馬<v>趁錢真僫</v>閣加武漢疫情，毋過「親像田蛤仔含水過寒冬日，等時機」，認真拍拚，總嘛會翻身一工。	Fluency/Grammar	Minor
default	moedict_select	86	1	rater1	現在賺錢不容易又加上武漢疫情，不過「若像田螺含水度過寒冬日，等待時機」，認真打拼，總有翻身的一天。	這馬趁錢真僫閣加武漢疫情，毋過「<v>親像田蛤仔含水過寒冬日，等時機</v>」，認真拍拚，總嘛會翻身一工。	Locale/Other	Minor
default	moedict_select	86	2	rater1	現在賺錢不容易又加上武漢疫情，不過「若像田螺含水度過寒冬日，等待時機」，認真打拼，總有翻身的一天。	這馬趁錢真僫閣加武漢疫情，毋過「親像田蛤仔含水過寒冬日，等時機」，認真拍拚，總<v>嘛會</v>翻身一工。	Accuracy/Addition	Minor
default	moedict_select	86	3	rater1	現在賺錢不容易又加上武漢疫情，不過「若像田螺含水度過寒冬日，等待時機」，認真打拼，總有翻身的一天。	這馬趁錢真僫閣加武漢疫情，毋過「親像田蛤仔含水過寒冬日，等時機」，認真拍拚，總嘛會<v>翻身</v>一工。	Purity/None	Major
default	moedict_select	89	0	rater1	生病的人還不知道要禁忌一些食物，你實在真糟糕。	破病的人<v>毋知影</v>欲禁一寡物件食，你實在有夠䆀。	Accuracy/Omission	Minor
default	moedict_select	89	1	rater1	生病的人還不知道要禁忌一些食物，你實在真糟糕。	破病的人毋知影欲<v>禁一寡物件食</v>，你實在有夠䆀。	Locale/Other	Minor
default	moedict_select	89	2	rater1	生病的人還不知道要禁忌一些食物，你實在真糟糕。	破病的人毋知影欲禁一寡物件食，你實在有夠<v>䆀</v>。	Accuracy/Mistranslation	Major
default	moedict_select	90	0	rater1	我們公司的員工已經足夠，沒打算再雇用其他人了。	阮公司的<v>人</v>已經夠額矣，無欲閣倩人矣。	Accuracy/Mistranslation	Minor
default	moedict_select	98	0	rater1	你若不是一個真正財務健全的人，休想跟他的會做他的會員。	你若毋是一个真有財力的人，莫想欲<v>入</v>伊的會仔。	Fluency/Register	Minor
default	moedict_select	98	1	rater1	你若不是一個真正財務健全的人，休想跟他的會做他的會員。	你若毋是一个<v>真有財力</v>的人，莫想欲入伊的會仔。	Locale/Other	Minor
